"country","datstat_altpid","d_routine_documented_meeting","d_medical_documented_meeting","d_cultural_training_any","d_hr_evaluation","management_domain_count4"
"BLZ","F03",0,0,NA,0,0
"BLZ","F04",0,0,1,0,1
"BLZ","F05",0,0,NA,0,0
"BLZ","F06",0,0,1,0,1
"BLZ","F17",1,1,NA,0,2
"BLZ","F18",1,0,NA,0,1
"BLZ","F19",0,0,1,0,1
"BLZ","F21",0,0,NA,0,0
"BLZ","F31",1,1,NA,1,3
"BLZ","F39",1,1,NA,0,2
"BLZ","F40",1,1,NA,0,2
"GTM","F301",1,1,1,1,4
"GTM","F302",1,1,NA,1,3
"GTM","F303",1,0,1,1,3
"GTM","F304",1,1,1,1,4
"GTM","F305",1,1,1,0,3
"GTM","F306",1,1,NA,0,2
"GTM","F307",0,0,1,1,2
"GTM","F308",1,1,NA,0,2
"GTM","F309",1,1,1,0,3
"GTM","F310",1,1,1,1,4
"GTM","F311",0,0,NA,1,1
"GTM","F312",0,0,NA,0,0
"GTM","F313",1,0,1,1,3
"GTM","F314",0,0,1,0,1
"GTM","F315",1,0,NA,0,1
"GTM","F316",1,1,1,0,3
"GTM","F317",1,0,NA,0,1
"GTM","F318",1,1,1,1,4
"GTM","F319",1,0,1,1,3
"GTM","F320",0,0,1,1,2
"GTM","F322",1,1,1,0,3
"GTM","F323",0,1,1,0,2
"HND","F03",1,1,NA,0,2
"HND","F04",1,1,1,0,3
"HND","F05",0,0,1,0,1
"HND","F06",1,0,1,0,2
"HND","F12",1,1,NA,1,3
"HND","F17",1,0,NA,1,2
"HND","F18",1,0,NA,0,1
"HND","F19",1,0,NA,1,2
"HND","F205",1,1,1,0,3
"HND","F21",1,1,NA,1,3
"HND","F210",1,1,1,0,3
"HND","F213",1,1,NA,0,2
"HND","F217",1,1,NA,1,3
"HND","F226",0,0,NA,0,0
"HND","F248",1,1,1,0,3
"HND","F255",1,1,1,0,3
"HND","F301",1,1,NA,0,2
"HND","F302",1,1,1,0,3
"HND","F303",1,0,1,0,2
"HND","F304",1,0,1,0,2
"HND","F305",1,1,1,0,3
"HND","F306",0,1,NA,1,2
"HND","F307",1,1,NA,0,2
"HND","F308",1,1,1,0,3
"HND","F309",1,1,NA,0,2
"HND","F31",0,1,NA,0,1
"HND","F310",1,1,NA,0,2
"HND","F311",1,1,1,0,3
"HND","F312",0,1,NA,0,1
"HND","F313",1,1,1,0,3
"HND","F314",1,1,NA,0,2
"HND","F315",1,1,1,1,4
"HND","F316",1,1,1,0,3
"HND","F317",1,0,NA,0,1
"HND","F318",1,0,NA,1,2
"HND","F319",0,0,NA,0,0
"HND","F320",1,1,NA,0,2
"HND","F322",1,1,NA,0,2
"HND","F323",1,1,NA,0,2
"HND","F36",1,1,NA,0,2
"HND","F39",0,0,NA,1,1
"HND","F40",0,0,NA,0,0
"HND","F46",1,1,1,0,3
"HND","F49",1,1,NA,0,2
"HND","F51",1,1,NA,1,3
"HND","F52",1,0,1,1,3
"HND","F55",0,1,NA,1,2
"HND","F56",1,1,NA,0,2
"HND","F60",1,1,1,0,3
"HND","F61",1,1,1,0,3
"HND","F66",1,1,1,0,3
"HND","F68",1,1,NA,0,2
"HND","F70",1,1,1,0,3
"HND","F71",1,1,1,0,3
"HND","F72",1,1,1,0,3
"HND","F75",1,1,1,1,4
"HND","F77",1,0,NA,0,1
"HND","F82",1,1,NA,0,2
"HND","F84",1,1,NA,1,3
"HND","F91",1,1,1,1,4
"MEX","F301",0,0,1,0,1
"MEX","F303",0,0,1,0,1
"MEX","F304",0,1,1,0,2
